,date,province,total,admitted,deaths
436,2020-04-18,Groningen,295,68,9
437,2020-04-18,Limburg,3271,1360,507
438,2020-04-18,Noord-Brabant,6723,2267,1109
439,2020-04-18,Noord-Holland,4688,1370,458
440,2020-04-18,Overijssel,2202,501,190
441,2020-04-18,Utrecht,2254,723,251
442,2020-04-18,Zeeland,512,135,46
443,2020-04-18,Zuid-Holland,6351,1635,530
444,2020-04-19,Drenthe,389,91,23
445,2020-04-19,Flevoland,577,217,26
446,2020-04-19,Friesland,472,117,40
447,2020-04-19,Gelderland,4106,1130,424
448,2020-04-19,Groningen,300,68,9
449,2020-04-19,Limburg,3371,1371,514
450,2020-04-19,Noord-Brabant,6898,2281,1130
451,2020-04-19,Noord-Holland,4818,1391,469
452,2020-04-19,Overijssel,2277,505,191
453,2020-04-19,Utrecht,2310,732,257
454,2020-04-19,Zeeland,525,137,46
455,2020-04-19,Zuid-Holland,6612,1664,555
456,2020-04-20,Drenthe,398,91,23
457,2020-04-20,Flevoland,583,218,27
458,2020-04-20,Friesland,475,119,43
459,2020-04-20,Gelderland,4253,1149,434
460,2020-04-20,Groningen,304,68,9
461,2020-04-20,Limburg,3455,1374,523
462,2020-04-20,Noord-Brabant,7055,2285,1146
463,2020-04-20,Noord-Holland,4917,1407,478
464,2020-04-20,Overijssel,2325,507,193
465,2020-04-20,Utrecht,2355,745,265
466,2020-04-20,Zeeland,532,138,46
467,2020-04-20,Zuid-Holland,6753,1678,564
468,2020-04-21,Drenthe,403,99,24
469,2020-04-21,Flevoland,606,222,30
470,2020-04-21,Friesland,481,119,46
471,2020-04-21,Gelderland,4351,1171,454
472,2020-04-21,Groningen,308,68,9
473,2020-04-21,Limburg,3541,1392,530
474,2020-04-21,Noord-Brabant,7194,2302,1188
475,2020-04-21,Noord-Holland,5018,1417,501
476,2020-04-21,Overijssel,2389,513,206
477,2020-04-21,Utrecht,2409,746,279
478,2020-04-21,Zeeland,536,138,46
479,2020-04-21,Zuid-Holland,6898,1710,603
480,2020-04-22,Drenthe,408,102,26
481,2020-04-22,Flevoland,625,226,32
482,2020-04-22,Friesland,493,121,46
483,2020-04-22,Gelderland,4438,1184,469
484,2020-04-22,Groningen,311,69,9
485,2020-04-22,Limburg,3634,1411,540
486,2020-04-22,Noord-Brabant,7315,2332,1225
487,2020-04-22,Noord-Holland,5125,1438,515
488,2020-04-22,Overijssel,2427,513,213
489,2020-04-22,Utrecht,2459,759,287
490,2020-04-22,Zeeland,544,140,49
491,2020-04-22,Zuid-Holland,7063,1726,643
492,2020-04-23,Drenthe,424,102,26
493,2020-04-23,Flevoland,653,227,32
494,2020-04-23,Friesland,501,123,48
495,2020-04-23,Gelderland,4574,1199,488
496,2020-04-23,Groningen,315,70,11
497,2020-04-23,Limburg,3711,1428,549
498,2020-04-23,Noord-Brabant,7442,2384,1248
499,2020-04-23,Noord-Holland,5266,1453,532
500,2020-04-23,Overijssel,2488,516,219
501,2020-04-23,Utrecht,2523,766,297
502,2020-04-23,Zeeland,558,142,50
503,2020-04-23,Zuid-Holland,7274,1748,677
504,2020-04-24,Drenthe,440,102,28
505,2020-04-24,Flevoland,665,231,32
506,2020-04-24,Friesland,513,124,51
507,2020-04-24,Gelderland,4685,1208,507
508,2020-04-24,Groningen,324,72,12
509,2020-04-24,Limburg,3814,1441,564
510,2020-04-24,Noord-Brabant,7599,2428,1262
511,2020-04-24,Noord-Holland,5350,1470,546
512,2020-04-24,Overijssel,2536,523,224
513,2020-04-24,Utrecht,2592,772,299
514,2020-04-24,Zeeland,561,143,51
515,2020-04-24,Zuid-Holland,7456,1767,713
516,2020-04-25,Drenthe,452,106,28
517,2020-04-25,Flevoland,690,238,35
518,2020-04-25,Friesland,517,125,52
519,2020-04-25,Gelderland,4779,1230,520
520,2020-04-25,Groningen,327,72,12
