,date,province,total,admitted,deaths
475,2020-04-07,Noord-Holland,124,50,22
476,2020-04-07,Overijssel,65,20,14
477,2020-04-07,Utrecht,57,11,14
478,2020-04-07,Zeeland,33,8,2
479,2020-04-07,Zuid-Holland,140,62,36
480,2020-04-08,Drenthe,14,3,0
481,2020-04-08,Flevoland,17,8,2
482,2020-04-08,Fryslân,33,0,0
483,2020-04-08,Gelderland,91,43,19
484,2020-04-08,Groningen,13,3,0
485,2020-04-08,Limburg,81,43,21
486,2020-04-08,Noord-Brabant,181,58,39
487,2020-04-08,Noord-Holland,130,32,30
488,2020-04-08,Overijssel,65,29,5
489,2020-04-08,Utrecht,73,27,9
490,2020-04-08,Zeeland,19,2,6
491,2020-04-08,Zuid-Holland,242,67,17
492,2020-04-09,Drenthe,18,4,0
493,2020-04-09,Flevoland,14,6,4
494,2020-04-09,Fryslân,36,1,2
495,2020-04-09,Gelderland,135,31,20
496,2020-04-09,Groningen,8,1,0
497,2020-04-09,Limburg,126,43,19
498,2020-04-09,Noord-Brabant,214,39,42
499,2020-04-09,Noord-Holland,174,32,21
500,2020-04-09,Overijssel,75,10,2
501,2020-04-09,Utrecht,62,14,10
502,2020-04-09,Zeeland,30,3,0
503,2020-04-09,Zuid-Holland,316,53,25
504,2020-04-10,Drenthe,22,2,0
505,2020-04-10,Flevoland,27,12,0
506,2020-04-10,Fryslân,30,4,1
507,2020-04-10,Gelderland,164,21,14
508,2020-04-10,Groningen,13,2,0
509,2020-04-10,Limburg,106,27,17
510,2020-04-10,Noord-Brabant,250,50,25
511,2020-04-10,Noord-Holland,227,20,11
512,2020-04-10,Overijssel,191,8,9
513,2020-04-10,Utrecht,63,11,9
514,2020-04-10,Zeeland,26,4,0
515,2020-04-10,Zuid-Holland,208,58,28
516,2020-04-11,Drenthe,21,1,1
517,2020-04-11,Flevoland,35,5,1
518,2020-04-11,Fryslân,15,2,0
519,2020-04-11,Gelderland,152,28,12
520,2020-04-11,Groningen,14,4,1
521,2020-04-11,Limburg,127,24,13
522,2020-04-11,Noord-Brabant,204,45,31
523,2020-04-11,Noord-Holland,160,24,28
524,2020-04-11,Overijssel,96,4,7
525,2020-04-11,Utrecht,53,19,10
526,2020-04-11,Zeeland,27,3,2
527,2020-04-11,Zuid-Holland,397,36,28
528,2020-04-12,Drenthe,15,0,0
529,2020-04-12,Flevoland,16,1,0
530,2020-04-12,Fryslân,18,1,1
531,2020-04-12,Gelderland,162,42,11
532,2020-04-12,Groningen,10,2,1
533,2020-04-12,Limburg,120,29,20
534,2020-04-12,Noord-Brabant,251,49,19
535,2020-04-12,Noord-Holland,182,12,15
536,2020-04-12,Overijssel,73,13,5
537,2020-04-12,Utrecht,85,9,8
538,2020-04-12,Zeeland,15,1,2
539,2020-04-12,Zuid-Holland,224,41,12
540,2020-04-13,Drenthe,9,0,0
541,2020-04-13,Flevoland,32,6,1
542,2020-04-13,Fryslân,13,2,4
543,2020-04-13,Gelderland,210,16,5
544,2020-04-13,Groningen,8,1,0
545,2020-04-13,Limburg,43,4,7
546,2020-04-13,Noord-Brabant,137,51,18
547,2020-04-13,Noord-Holland,94,21,15
548,2020-04-13,Overijssel,54,3,5
549,2020-04-13,Utrecht,69,7,9
550,2020-04-13,Zeeland,26,0,1
551,2020-04-13,Zuid-Holland,264,31,20
552,2020-04-14,Drenthe,6,0,0
553,2020-04-14,Flevoland,8,1,1
554,2020-04-14,Fryslân,8,3,1
555,2020-04-14,Gelderland,114,26,15
556,2020-04-14,Groningen,1,0,0
557,2020-04-14,Limburg,185,30,24
558,2020-04-14,Noord-Brabant,174,31,23
559,2020-04-14,Noord-Holland,94,50,16
560,2020-04-14,Overijssel,58,15,4
561,2020-04-14,Utrecht,54,13,16
562,2020-04-14,Zeeland,18,2,1
563,2020-04-14,Zuid-Holland,142,38,21
